Founders Demo Co,,,,,,,,,,
General Ledger,,,,,,,,,,
January 1 - December 31, 2026,,,,,,,,,,
,,,,,,,,,,
,Date,Transaction Type,Num,Name,Vendor,Customer,Memo/Description,Split,Amount,Balance
,10/15/2026,Payment,2251,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,52439.00
,10/15/2026,Payment,2253,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,47539.00
,10/15/2026,Payment,2255,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1000 Checking,-12000.00,35539.00
,11/04/2026,Invoice,2282,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,12545.00,48084.00
,11/04/2026,Invoice,2284,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,54484.00
,11/04/2026,Invoice,2286,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,59384.00
,11/04/2026,Invoice,2288,Wayne Enterprises,,Wayne Enterprises,Monthly billing,4100 Professional Services Revenue,12000.00,71384.00
,11/15/2026,Payment,2283,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-12239.00,59145.00
,11/15/2026,Payment,2285,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,52745.00
,11/15/2026,Payment,2287,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,47845.00
,11/15/2026,Payment,2289,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1000 Checking,-12000.00,35845.00
,12/04/2026,Invoice,2313,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,12858.00,48703.00
,12/04/2026,Invoice,2315,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,55103.00
,12/04/2026,Invoice,2317,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,60003.00
,12/15/2026,Payment,2314,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-12545.00,47458.00
,12/15/2026,Payment,2316,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,41058.00
,12/15/2026,Payment,2318,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,36158.00
,12/15/2026,Payment,2319,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1000 Checking,-12000.00,24158.00
Total for 1200 Accounts Receivable,,,,,,,,,24158.00,24158.00
1500 Computer Equipment,,,,,,,,,,
,02/09/2026,Check,2344,Apple,Apple,,Laptops for new hires,1000 Checking,6200.00,6200.00
Total for 1500 Computer Equipment,,,,,,,,,6200.00,6200.00
2000 Accounts Payable,,,,,,,,,,
,01/03/2026,Bill,2005,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-2400.00,-2400.00
,01/03/2026,Bill,2006,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-2800.00
,01/05/2026,Bill,2015,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-4300.00
,02/03/2026,Bill,2024,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-2484.00,-6784.00
,02/03/2026,Bill,2026,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-7184.00
,02/05/2026,Bill,2036,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-8684.00
,02/10/2026,Bill Payment,2025,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,2400.00,-6284.00
,02/10/2026,Bill Payment,2027,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-5884.00
,02/10/2026,Bill Payment,2037,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-4384.00
,03/03/2026,Bill,2049,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-2571.00,-6955.00
,03/03/2026,Bill,2051,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-7355.00
,03/05/2026,Bill,2061,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-8855.00
,03/10/2026,Bill Payment,2050,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,2484.00,-6371.00
,03/10/2026,Bill Payment,2052,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-5971.00
,03/10/2026,Bill Payment,2062,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-4471.00
,03/18/2026,Bill,2063,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,6400 Professional Services,-2600.00,-7071.00
,04/03/2026,Bill,2078,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-2661.00,-9732.00
,04/03/2026,Bill,2080,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-10132.00
,04/03/2026,Bill,2082,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-10812.00
,04/05/2026,Bill,2092,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-12312.00
,04/10/2026,Bill Payment,2079,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,2571.00,-9741.00
,04/10/2026,Bill Payment,2081,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-9341.00
,04/10/2026,Bill Payment,2093,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-7841.00
,04/10/2026,Bill Payment,2094,Wilson & Gray LLP,Wilson & Gray LLP,,Pay bill,1000 Checking,2600.00,-5241.00
,05/03/2026,Bill,2107,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-2754.00,-7995.00
,05/03/2026,Bill,2109,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-8395.00
,05/03/2026,Bill,2111,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-9075.00
,05/05/2026,Bill,2122,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-10575.00
,05/10/2026,Bill Payment,2108,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,2661.00,-7914.00
,05/10/2026,Bill Payment,2110,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-7514.00
,05/10/2026,Bill Payment,2112,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-6834.00
,05/10/2026,Bill Payment,2123,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-5334.00
,06/03/2026,Bill,2135,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-2850.00,-8184.00
,06/03/2026,Bill,2137,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-8584.00
,06/03/2026,Bill,2139,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-9264.00
,06/05/2026,Bill,2150,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-10764.00
,06/10/2026,Bill Payment,2136,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,2754.00,-8010.00
,06/10/2026,Bill Payment,2138,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-7610.00
,06/10/2026,Bill Payment,2140,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-6930.00
,06/10/2026,Bill Payment,2151,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-5430.00
,06/18/2026,Bill,2152,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,6400 Professional Services,-2600.00,-8030.00
,07/03/2026,Bill,2165,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-2950.00,-10980.00
,07/03/2026,Bill,2167,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-11380.00
,07/03/2026,Bill,2169,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-12060.00
,07/05/2026,Bill,2181,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-13560.00
,07/10/2026,Bill Payment,2166,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,2850.00,-10710.00
,07/10/2026,Bill Payment,2168,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-10310.00
,07/10/2026,Bill Payment,2170,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-9630.00
,07/10/2026,Bill Payment,2182,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-8130.00
,07/10/2026,Bill Payment,2183,Wilson & Gray LLP,Wilson & Gray LLP,,Pay bill,1000 Checking,2600.00,-5530.00
,08/03/2026,Bill,2195,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-3053.00,-8583.00
,08/03/2026,Bill,2197,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-8983.00
,08/03/2026,Bill,2199,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-9663.00
,08/05/2026,Bill,2211,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-11163.00
,08/10/2026,Bill Payment,2196,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,2950.00,-8213.00
,08/10/2026,Bill Payment,2198,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-7813.00
,08/10/2026,Bill Payment,2200,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-7133.00
,08/10/2026,Bill Payment,2212,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-5633.00
,09/03/2026,Bill,2225,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-3160.00,-8793.00
,09/03/2026,Bill,2227,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-9193.00
,09/03/2026,Bill,2229,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-9873.00
,09/05/2026,Bill,2242,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-11373.00
,09/10/2026,Bill Payment,2226,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,3053.00,-8320.00
,09/10/2026,Bill Payment,2228,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-7920.00
,09/10/2026,Bill Payment,2230,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-7240.00
,09/10/2026,Bill Payment,2243,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-5740.00
,09/18/2026,Bill,2244,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,6400 Professional Services,-2600.00,-8340.00
,10/03/2026,Bill,2257,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-3271.00,-11611.00
,10/03/2026,Bill,2259,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-12011.00
,10/03/2026,Bill,2261,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-12691.00
,10/05/2026,Bill,2274,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-14191.00
,10/10/2026,Bill Payment,2258,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,3160.00,-11031.00
,10/10/2026,Bill Payment,2260,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-10631.00
,10/10/2026,Bill Payment,2262,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-9951.00
,10/10/2026,Bill Payment,2275,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-8451.00
,10/10/2026,Bill Payment,2276,Wilson & Gray LLP,Wilson & Gray LLP,,Pay bill,1000 Checking,2600.00,-5851.00
,11/03/2026,Bill,2291,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-3385.00,-9236.00
,11/03/2026,Bill,2293,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-9636.00
,11/03/2026,Bill,2295,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-10316.00
,11/05/2026,Bill,2308,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-11816.00
,11/10/2026,Bill Payment,2292,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,3271.00,-8545.00
,11/10/2026,Bill Payment,2294,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-8145.00
,11/10/2026,Bill Payment,2296,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-7465.00
,11/10/2026,Bill Payment,2309,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-5965.00
,12/03/2026,Bill,2321,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,5000 Hosting & Infrastructure,-3504.00,-9469.00
,12/03/2026,Bill,2323,Cloudflare,Cloudflare,,Cloud infrastructure,5000 Hosting & Infrastructure,-400.00,-9869.00
,12/03/2026,Bill,2325,Datadog,Datadog,,Cloud infrastructure,5000 Hosting & Infrastructure,-680.00,-10549.00
,12/05/2026,Bill,2338,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,6400 Professional Services,-1500.00,-12049.00
,12/10/2026,Bill Payment,2322,Amazon Web Services,Amazon Web Services,,Pay bill,1000 Checking,3385.00,-8664.00
,12/10/2026,Bill Payment,2324,Cloudflare,Cloudflare,,Pay bill,1000 Checking,400.00,-8264.00
,12/10/2026,Bill Payment,2326,Datadog,Datadog,,Pay bill,1000 Checking,680.00,-7584.00
,12/10/2026,Bill Payment,2339,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,1000 Checking,1500.00,-6084.00
,12/18/2026,Bill,2340,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,6400 Professional Services,-2600.00,-8684.00
Total for 2000 Accounts Payable,,,,,,,,,-8684.00,-8684.00
2100 Credit Card,,,,,,,,,,
,01/08/2026,Credit Card Charge,2012,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,01/08/2026,Credit Card Charge,2013,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,01/08/2026,Credit Card Charge,2014,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,01/12/2026,Credit Card Charge,2010,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-1800.00,-2590.00
,01/14/2026,Credit Card Charge,2011,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-900.00,-3490.00
,02/06/2026,Credit Card Payment,2039,Chase,Chase,,Pay card balance in full,1000 Checking,3490.00,0.00
,02/08/2026,Credit Card Charge,2033,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,02/08/2026,Credit Card Charge,2034,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,02/08/2026,Credit Card Charge,2035,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,02/12/2026,Credit Card Charge,2031,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-1908.00,-2698.00
,02/14/2026,Credit Card Charge,2032,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-850.00,-3548.00
,03/06/2026,Credit Card Payment,2067,Chase,Chase,,Pay card balance in full,1000 Checking,3548.00,0.00
,03/08/2026,Credit Card Charge,2058,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,03/08/2026,Credit Card Charge,2059,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,03/08/2026,Credit Card Charge,2060,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,03/12/2026,Credit Card Charge,2056,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-2022.00,-2812.00
,03/14/2026,Credit Card Charge,2057,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1600.00,-4412.00
,03/21/2026,Credit Card Charge,2064,Delta Air Lines,Delta Air Lines,,Business travel,6500 Travel & Meals,-1240.00,-5652.00
,03/22/2026,Credit Card Charge,2065,Marriott,Marriott,,Business travel,6500 Travel & Meals,-920.00,-6572.00
,04/06/2026,Credit Card Payment,2096,Chase,Chase,,Pay card balance in full,1000 Checking,6572.00,0.00
,04/08/2026,Credit Card Charge,2088,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,04/08/2026,Credit Card Charge,2089,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,04/08/2026,Credit Card Charge,2090,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,04/08/2026,Credit Card Charge,2091,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,04/12/2026,Credit Card Charge,2086,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-2144.00,-3174.00
,04/14/2026,Credit Card Charge,2087,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1200.00,-4374.00
,05/06/2026,Credit Card Payment,2125,Chase,Chase,,Pay card balance in full,1000 Checking,4374.00,0.00
,05/08/2026,Credit Card Charge,2118,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,05/08/2026,Credit Card Charge,2119,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,05/08/2026,Credit Card Charge,2120,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,05/08/2026,Credit Card Charge,2121,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,05/12/2026,Credit Card Charge,2116,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-2272.00,-3302.00
,05/14/2026,Credit Card Charge,2117,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-950.00,-4252.00
,06/06/2026,Credit Card Payment,2156,Chase,Chase,,Pay card balance in full,1000 Checking,4252.00,0.00
,06/08/2026,Credit Card Charge,2146,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,06/08/2026,Credit Card Charge,2147,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,06/08/2026,Credit Card Charge,2148,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,06/08/2026,Credit Card Charge,2149,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,06/12/2026,Credit Card Charge,2144,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-2409.00,-3439.00
,06/14/2026,Credit Card Charge,2145,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1000.00,-4439.00
,06/21/2026,Credit Card Charge,2153,Delta Air Lines,Delta Air Lines,,Business travel,6500 Travel & Meals,-980.00,-5419.00
,06/22/2026,Credit Card Charge,2154,Marriott,Marriott,,Business travel,6500 Travel & Meals,-780.00,-6199.00
,07/06/2026,Credit Card Payment,2185,Chase,Chase,,Pay card balance in full,1000 Checking,6199.00,0.00
,07/08/2026,Credit Card Charge,2177,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,07/08/2026,Credit Card Charge,2178,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,07/08/2026,Credit Card Charge,2179,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,07/08/2026,Credit Card Charge,2180,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,07/12/2026,Credit Card Charge,2174,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-2553.00,-3583.00
,07/14/2026,Credit Card Charge,2175,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1500.00,-5083.00
,07/16/2026,Credit Card Charge,2176,LinkedIn Ads,LinkedIn Ads,,Advertising,6200 Advertising & Marketing,-1250.00,-6333.00
,08/06/2026,Credit Card Payment,2214,Chase,Chase,,Pay card balance in full,1000 Checking,6333.00,0.00
,08/08/2026,Credit Card Charge,2207,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,08/08/2026,Credit Card Charge,2208,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,08/08/2026,Credit Card Charge,2209,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,08/08/2026,Credit Card Charge,2210,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,08/12/2026,Credit Card Charge,2204,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-2707.00,-3737.00
,08/14/2026,Credit Card Charge,2205,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1400.00,-5137.00
,08/16/2026,Credit Card Charge,2206,LinkedIn Ads,LinkedIn Ads,,Advertising,6200 Advertising & Marketing,-1250.00,-6387.00
,09/06/2026,Credit Card Payment,2246,Chase,Chase,,Pay card balance in full,1000 Checking,6387.00,0.00
,09/08/2026,Credit Card Charge,2237,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,09/08/2026,Credit Card Charge,2238,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,09/08/2026,Credit Card Charge,2239,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,09/08/2026,Credit Card Charge,2240,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,09/09/2026,Credit Card Charge,2241,Salesforce,Salesforce,,SaaS subscription,6300 Software Subscriptions,-1550.00,-2580.00
,09/12/2026,Credit Card Charge,2234,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-2869.00,-5449.00
,09/14/2026,Credit Card Charge,2235,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1100.00,-6549.00
,09/16/2026,Credit Card Charge,2236,LinkedIn Ads,LinkedIn Ads,,Advertising,6200 Advertising & Marketing,-1250.00,-7799.00
,10/06/2026,Credit Card Payment,2280,Chase,Chase,,Pay card balance in full,1000 Checking,7799.00,0.00
,10/08/2026,Credit Card Charge,2269,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,10/08/2026,Credit Card Charge,2270,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,10/08/2026,Credit Card Charge,2271,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,10/08/2026,Credit Card Charge,2272,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,10/09/2026,Credit Card Charge,2273,Salesforce,Salesforce,,SaaS subscription,6300 Software Subscriptions,-1550.00,-2580.00
,10/12/2026,Credit Card Charge,2266,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-3041.00,-5621.00
,10/14/2026,Credit Card Charge,2267,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1900.00,-7521.00
,10/16/2026,Credit Card Charge,2268,LinkedIn Ads,LinkedIn Ads,,Advertising,6200 Advertising & Marketing,-1250.00,-8771.00
,10/21/2026,Credit Card Charge,2277,Delta Air Lines,Delta Air Lines,,Business travel,6500 Travel & Meals,-1460.00,-10231.00
,10/22/2026,Credit Card Charge,2278,Marriott,Marriott,,Business travel,6500 Travel & Meals,-1150.00,-11381.00
,11/06/2026,Credit Card Payment,2311,Chase,Chase,,Pay card balance in full,1000 Checking,11381.00,0.00
,11/08/2026,Credit Card Charge,2303,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,11/08/2026,Credit Card Charge,2304,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,11/08/2026,Credit Card Charge,2305,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,11/08/2026,Credit Card Charge,2306,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,11/09/2026,Credit Card Charge,2307,Salesforce,Salesforce,,SaaS subscription,6300 Software Subscriptions,-1550.00,-2580.00
,11/12/2026,Credit Card Charge,2300,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-3224.00,-5804.00
,11/14/2026,Credit Card Charge,2301,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-2400.00,-8204.00
,11/16/2026,Credit Card Charge,2302,LinkedIn Ads,LinkedIn Ads,,Advertising,6200 Advertising & Marketing,-1250.00,-9454.00
,12/06/2026,Credit Card Payment,2342,Chase,Chase,,Pay card balance in full,1000 Checking,9454.00,0.00
,12/08/2026,Credit Card Charge,2333,Slack,Slack,,SaaS subscription,6300 Software Subscriptions,-340.00,-340.00
,12/08/2026,Credit Card Charge,2334,Notion,Notion,,SaaS subscription,6300 Software Subscriptions,-190.00,-530.00
,12/08/2026,Credit Card Charge,2335,GitHub,GitHub,,SaaS subscription,6300 Software Subscriptions,-260.00,-790.00
,12/08/2026,Credit Card Charge,2336,Figma,Figma,,SaaS subscription,6300 Software Subscriptions,-240.00,-1030.00
,12/09/2026,Credit Card Charge,2337,Salesforce,Salesforce,,SaaS subscription,6300 Software Subscriptions,-1550.00,-2580.00
,12/12/2026,Credit Card Charge,2330,Google Ads,Google Ads,,Advertising,6200 Advertising & Marketing,-3417.00,-5997.00
,12/14/2026,Credit Card Charge,2331,Meta Ads,Meta Ads,,Advertising,6200 Advertising & Marketing,-1300.00,-7297.00
,12/16/2026,Credit Card Charge,2332,LinkedIn Ads,LinkedIn Ads,,Advertising,6200 Advertising & Marketing,-1250.00,-8547.00
Total for 2100 Credit Card,,,,,,,,,-8547.00,-8547.00
3000 Owners Equity,,,,,,,,,,
,01/02/2026,Deposit,2001,Owner,,,Opening capital,1000 Checking,-100000.00,-100000.00
Total for 3000 Owners Equity,,,,,,,,,-100000.00,-100000.00
4000 Subscription Revenue,,,,,,,,,,
,01/04/2026,Invoice,2002,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-9800.00,-9800.00
,01/04/2026,Invoice,2003,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-16200.00
,02/04/2026,Invoice,2018,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-10045.00,-26245.00
,02/04/2026,Invoice,2020,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-32645.00
,03/04/2026,Invoice,2041,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-10296.00,-42941.00
,03/04/2026,Invoice,2043,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-49341.00
,03/04/2026,Invoice,2045,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-54241.00
,04/04/2026,Invoice,2069,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-10554.00,-64795.00
,04/04/2026,Invoice,2071,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-71195.00
,04/04/2026,Invoice,2073,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-76095.00
,05/04/2026,Invoice,2098,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-10817.00,-86912.00
